[02:48:27 INFO  SMAPI] SMAPI 3.18.6 with Stardew Valley 1.5.6 (build 22018) on Microsoft Windows 10 Home
[02:48:27 INFO  SMAPI] Mods go here: M:\SteamLib\steamapps\common\Stardew Valley\Mods (MARGO)
[02:48:27 TRACE SMAPI] (Using custom --mods-path argument.)
[02:48:27 TRACE SMAPI] Log started at 2024-02-29T18:48:27 UTC
[02:48:32 DEBUG SMAPI] Waiting for game to launch...
[02:48:32 TRACE game] NoFpsCap: This feature is not available
[02:48:33 DEBUG SMAPI] Loading mod metadata...
[02:48:34 DEBUG SMAPI] Loading mods...
[02:48:34 TRACE SMAPI]    [CP] Ridgeside Village\Assets (from Mods (MARGO)\[CP] Ridgeside Village\Assets)...
[02:48:34 TRACE SMAPI]       Failed: it's an empty folder.
[02:48:34 TRACE SMAPI]    [STF] Ridgeside Village\assets (from Mods (MARGO)\[STF] Ridgeside Village\assets)...
[02:48:34 TRACE SMAPI]       Failed: it's an empty folder.
[02:48:34 TRACE SMAPI]    Content Patcher (from Mods (MARGO)\ContentPatcher\ContentPatcher.dll)...
[02:48:34 TRACE SMAPI]    SpaceCore (from Mods (MARGO)\SpaceCore\SpaceCore.dll)...
[02:48:34 TRACE SMAPI]       Detected game patcher in assembly SpaceCore.dll.
[02:48:34 TRACE SMAPI]       Detected possible save serializer change (StardewValley.SaveGame.farmerSerializer field, StardewValley.SaveGame.serializer field, StardewValley.SaveGame.locationSerializer field) in assembly SpaceCore.dll.
[02:48:34 TRACE SMAPI]    Expanded Preconditions Utility (from Mods (MARGO)\ExpandedPreconditionsUtility\ExpandedPreconditionsUtility.dll)...
[02:48:34 TRACE SMAPI]       Rewrote ExpandedPreconditionsUtility.dll for OS...
[02:48:34 TRACE SMAPI]       Rewrote ExpandedPreconditionsUtility.dll to fix 32-bit architecture...
[02:48:35 TRACE SMAPI]    Json Assets (from Mods (MARGO)\JsonAssets\JsonAssets.dll)...
[02:48:35 TRACE SMAPI]       Detected game patcher in assembly JsonAssets.dll.
[02:48:35 TRACE SMAPI]    (JA)Advanced Casks Mod (from Mods (MARGO)\AdvancedCasksMod\[JA]AdvancedCasksMod) [content pack]...
[02:48:35 TRACE SMAPI]    Mail Framework Mod (from Mods (MARGO)\MailFrameworkMod\MailFrameworkMod.dll)...
[02:48:35 TRACE SMAPI]       Detected game patcher in assembly MailFrameworkMod.dll.
[02:48:35 TRACE SMAPI]    Generic Mod Config Menu (from Mods (MARGO)\GenericModConfigMenu\GenericModConfigMenu.dll)...
[02:48:35 TRACE SMAPI]    Custom Cask Mod (from Mods (MARGO)\CustomCaskMod\CustomCaskMod.dll)...
[02:48:35 TRACE SMAPI]       Detected game patcher in assembly CustomCaskMod.dll.
[02:48:35 TRACE SMAPI]    (CCM)Advanced Casks Mod (from Mods (MARGO)\AdvancedCasksMod\[CCM]AdvancedCasksMod) [content pack]...
[02:48:35 TRACE SMAPI]    (MFM)Advanced Casks Mod (from Mods (MARGO)\AdvancedCasksMod\[MFM]AdvancedCasksMod) [content pack]...
[02:48:35 TRACE SMAPI]    Advanced Social Interactions (from Mods (MARGO)\AdvancedSocialInteractions\AdvancedSocialInteractions.dll)...
[02:48:35 TRACE SMAPI]    Custom NPC Exclusions (from Mods (MARGO)\CustomNPCExclusions\CustomNPCExclusions.dll)...
[02:48:35 TRACE SMAPI]       Detected game patcher in assembly CustomNPCExclusions.dll.
[02:48:35 TRACE SMAPI]    (JA) Adventurer's Guild Expanded (from Mods (MARGO)\Adventurer's Guild Expanded 1.0.15\[JA] Adventurer's Guild Expanded) [content pack]...
[02:48:35 TRACE SMAPI]    NPC Map Locations (from Mods (MARGO)\NPCMapLocations\NPCMapLocations.dll)...
[02:48:35 TRACE SMAPI]    Shop Tile Framework (from Mods (MARGO)\ShopTileFramework\ShopTileFramework.dll)...
[02:48:35 TRACE SMAPI]       Rewrote ShopTileFramework.dll for OS...
[02:48:35 TRACE SMAPI]       Rewrote ShopTileFramework.dll to fix 32-bit architecture...
[02:48:35 TRACE SMAPI]       Rewrote ShopTileFramework.dll to fix Harmony 1.x...
[02:48:35 TRACE SMAPI]       Detected game patcher in assembly ShopTileFramework.dll.
[02:48:35 TRACE SMAPI]    Extra Map Layers (from Mods (MARGO)\ExtraMapLayers\ExtraMapLayers.dll)...
[02:48:35 TRACE SMAPI]       Detected game patcher in assembly ExtraMapLayers.dll.
[02:48:35 TRACE SMAPI]    SAAT.API (from Mods (MARGO)\SAAT\SAAT.API\SAAT.API.dll)...
[02:48:35 TRACE SMAPI]    Farm Type Manager (from Mods (MARGO)\FarmTypeManager\FarmTypeManager.dll)...
[02:48:35 TRACE SMAPI]       Detected game patcher in assembly FarmTypeManager.dll.
[02:48:35 TRACE SMAPI]    New Objects for Stardew Valley Expanded (from Mods (MARGO)\Stardew Valley Expanded\[JA] Stardew Valley Expanded) [content pack]...
[02:48:35 TRACE SMAPI]    Stardew Valley Expanded Forage Locations (from Mods (MARGO)\Stardew Valley Expanded\[FTM] Stardew Valley Expanded) [content pack]...
